iter	Passed	Remaining
889	7436	919
890	7444	910
891	7451	902
892	7460	893
893	7468	885
894	7482	877
895	7490	869
896	7498	861
897	7506	852
898	7514	844
899	7522	835
900	7530	827
901	7538	819
902	7547	810
903	7554	802
904	7562	793
905	7570	785
906	7578	777
907	7585	768
908	7595	760
909	7602	751
910	7610	743
911	7618	735
912	7628	726
913	7636	718
914	7644	710
915	7652	701
916	7660	693
917	7669	685
918	7678	676
919	7686	668
920	7694	660
921	7702	651
922	7710	643
923	7718	634
924	7726	626
925	7734	618
926	7741	609
927	7749	601
928	7757	592
929	7765	584
930	7773	576
931	7781	567
932	7789	559
933	7797	550
934	7804	542
935	7814	534
936	7821	525
937	7831	517
938	7840	509
939	7850	501
940	7858	492
941	7866	484
942	7874	476
943	7883	467
944	7891	459
945	7899	450
946	7908	442
947	7916	434
948	7924	425
949	7937	417
950	7945	409
951	7953	401
952	7960	392
953	7968	384
954	7976	375
955	7984	367
956	7992	359
957	7999	350
958	8007	342
959	8015	333
960	8028	325
961	8035	317
962	8044	309
963	8051	300
964	8059	292
965	8067	283
966	8076	275
967	8084	267
968	8092	258
969	8100	250
970	8108	242
971	8116	233
972	8124	225
973	8132	217
974	8140	208
975	8148	200
976	8156	192
977	8164	183
978	8173	175
979	8184	167
980	8192	158
981	8200	150
982	8211	142
983	8219	133
984	8227	125
985	8235	116
986	8243	108
987	8251	100
988	8259	91
989	8267	83
990	8275	75
991	8284	66
992	8292	58
993	8300	50
994	8308	41
995	8316	33
996	8325	25
997	8333	16
998	8341	8
999	8349	0
